texto_reclamacao,categoria,empresa,estado,valor_envolvido,tempo_resposta_dias
Não recebi o produto comprado,Entrega,MegaStore,BA,51.26,4.5
Produto chegou muito atrasado,Entrega,TechMart,CE,447.84,2.7
Funcionário foi grosseiro e mal educado,Atendimento,TechMart,RS,3.88,6.8
Valor diferente do acordado,Cobrança Indevida,EletroMax,SP,417.38,3.4
Entregador foi mal educado,Entrega,FastDelivery,SC,69.79,4.2
Cobrança duplicada no cartão,Cobrança Indevida,FastDelivery,RJ,267.82,3.9
Produto não corresponde à descrição,Produto Defeituoso,FastDelivery,CE,202.99,1.4
Produto chegou com defeito de fábrica,Produto Defeituoso,FastDelivery,PR,163.48,13.8
Taxa não informada na contratação,Cobrança Indevida,TechMart,GO,468.61,6.7
Produto veio danificado na entrega,Produto Defeituoso,EletroMax,BA,143.05,8.9
Cobrança após cancelamento do serviço,Cobrança Indevida,TechMart,PR,65.2,3.8
Atendente não soube me informar,Atendimento,EletroMax,CE,76.34,16.3
Produto não foi entregue no prazo,Entrega,EletroMax,BA,67.01,6.7
Entrega foi feita no endereço errado,Entrega,FastDelivery,CE,511.91,4.0
Produto veio danificado na entrega,Produto Defeituoso,EletroMax,RS,1250.91,14.2
Atendimento muito demorado no telefone,Atendimento,FastDelivery,RS,57.55,8.4
Produto não foi entregue no prazo,Entrega,TechMart,MG,661.89,4.8
Produto chegou com defeito de fábrica,Produto Defeituoso,SuperCompras,RJ,125.98,9.7
Cobraram valor a mais na fatura,Cobrança Indevida,SuperCompras,GO,204.99,7.1
Funcionário foi grosseiro e mal educado,Atendimento,MegaStore,PE,49.6,14.2
Fui mal atendido na loja física,Atendimento,MegaStore,GO,73.51,16.3
Defeito na tela do celular,Produto Defeituoso,SuperCompras,PR,1513.7,12.3
Produto não corresponde à descrição,Produto Defeituoso,FastDelivery,RJ,537.53,9.1
Cobrança após cancelamento do serviço,Cobrança Indevida,FastDelivery,SP,346.33,7.7
Cobraram valor a mais na fatura,Cobrança Indevida,TechMart,SP,262.52,8.4
Fui mal atendido na loja física,Atendimento,MegaStore,MG,38.92,1.2
Produto não corresponde à descrição,Produto Defeituoso,FastDelivery,PE,672.66,14.3
Não recebi o produto comprado,Entrega,MegaStore,CE,516.51,3.7
Valor diferente do acordado,Cobrança Indevida,TechMart,RS,342.81,7.8
Cobraram valor a mais na fatura,Cobrança Indevida,EletroMax,PR,257.32,1.5
Taxa não informada na contratação,Cobrança Indevida,EletroMax,MG,446.1,4.2
Atendente não soube me informar,Atendimento,TechMart,CE,83.7,17.5
Fui mal atendido na loja física,Atendimento,SuperCompras,PE,82.19,14.4
Produto veio danificado na entrega,Produto Defeituoso,EletroMax,SC,1973.95,6.2
Defeito na tela do celular,Produto Defeituoso,TechMart,BA,1972.7,11.5
Atendente não soube me informar,Atendimento,MegaStore,SC,70.51,5.7
Cobrança duplicada no cartão,Cobrança Indevida,EletroMax,RJ,244.96,1.5
Entregador foi mal educado,Entrega,TechMart,BA,604.45,4.5
Atendimento muito demorado no telefone,Atendimento,FastDelivery,SP,8.29,11.0
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,FastDelivery,PR,134.63,13.9
Entregador foi mal educado,Entrega,FastDelivery,MG,565.47,1.5
Cobraram valor a mais na fatura,Cobrança Indevida,TechMart,SP,321.23,6.3
Produto não foi entregue no prazo,Entrega,MegaStore,CE,761.82,6.3
Não recebi o produto comprado,Entrega,EletroMax,GO,160.65,4.9
Entrega foi feita no endereço errado,Entrega,FastDelivery,RJ,234.77,3.2
Produto chegou muito atrasado,Entrega,TechMart,PE,268.34,5.9
Entregador foi mal educado,Entrega,EletroMax,MG,663.35,6.7
Entregador foi mal educado,Entrega,TechMart,RJ,93.72,6.3
Cobrança após cancelamento do serviço,Cobrança Indevida,EletroMax,BA,217.4,8.0
Atendimento muito demorado no telefone,Atendimento,MegaStore,PR,74.96,8.5
Cobrança duplicada no cartão,Cobrança Indevida,TechMart,SP,244.97,4.7
Produto veio danificado na entrega,Produto Defeituoso,FastDelivery,SP,1091.98,11.5
Cobrança após cancelamento do serviço,Cobrança Indevida,EletroMax,PR,473.49,8.6
Produto veio danificado na entrega,Produto Defeituoso,TechMart,SP,1910.4,9.5
Atendimento muito demorado no telefone,Atendimento,TechMart,GO,61.81,7.8
Entrega foi feita no endereço errado,Entrega,SuperCompras,RJ,396.68,6.0
Atendente não soube me informar,Atendimento,TechMart,SC,96.8,2.7
Cobraram valor a mais na fatura,Cobrança Indevida,TechMart,BA,382.47,6.6
Não consegui resolver meu problema,Atendimento,MegaStore,BA,13.64,1.3
Funcionário foi grosseiro e mal educado,Atendimento,SuperCompras,RJ,39.22,9.3
Taxa não informada na contratação,Cobrança Indevida,FastDelivery,PE,266.71,8.1
Entrega foi feita no endereço errado,Entrega,MegaStore,SP,761.13,1.9
Produto não foi entregue no prazo,Entrega,SuperCompras,SP,228.85,3.8
Fui mal atendido na loja física,Atendimento,SuperCompras,MG,53.73,9.7
Produto chegou muito atrasado,Entrega,FastDelivery,GO,566.31,3.5
Produto chegou muito atrasado,Entrega,MegaStore,RJ,493.49,2.3
Produto veio danificado na entrega,Produto Defeituoso,SuperCompras,CE,395.17,2.2
Produto veio danificado na entrega,Produto Defeituoso,TechMart,CE,1793.72,2.8
Fui mal atendido na loja física,Atendimento,MegaStore,PE,9.23,10.1
Não consegui resolver meu problema,Atendimento,EletroMax,SP,27.69,16.3
Produto não corresponde à descrição,Produto Defeituoso,EletroMax,RS,458.23,6.2
Funcionário foi grosseiro e mal educado,Atendimento,FastDelivery,BA,53.13,14.7
Não consegui resolver meu problema,Atendimento,MegaStore,BA,68.72,17.0
Valor diferente do acordado,Cobrança Indevida,EletroMax,RJ,234.76,5.8
Cobraram valor a mais na fatura,Cobrança Indevida,EletroMax,CE,290.7,8.6
Funcionário foi grosseiro e mal educado,Atendimento,FastDelivery,PE,89.05,12.3
Entrega foi feita no endereço errado,Entrega,MegaStore,PE,413.8,1.5
Taxa não informada na contratação,Cobrança Indevida,TechMart,MG,201.81,4.0
Entrega foi feita no endereço errado,Entrega,SuperCompras,GO,413.65,3.0
Produto chegou com defeito de fábrica,Produto Defeituoso,EletroMax,SC,489.4,6.1
Não recebi o produto comprado,Entrega,MegaStore,GO,720.51,1.5
Cobrança após cancelamento do serviço,Cobrança Indevida,FastDelivery,GO,73.78,4.6
Produto chegou muito atrasado,Entrega,FastDelivery,SC,780.8,3.9
Não consegui resolver meu problema,Atendimento,TechMart,RJ,55.68,11.9
Cobrança após cancelamento do serviço,Cobrança Indevida,FastDelivery,PR,109.78,3.9
Valor diferente do acordado,Cobrança Indevida,TechMart,RS,136.36,2.0
Fui mal atendido na loja física,Atendimento,MegaStore,RS,32.06,12.3
Funcionário foi grosseiro e mal educado,Atendimento,SuperCompras,PR,6.34,19.8
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,FastDelivery,SP,320.71,1.0
Produto não corresponde à descrição,Produto Defeituoso,MegaStore,SP,1708.92,11.4
Fui mal atendido na loja física,Atendimento,MegaStore,PE,20.5,8.2
Defeito na tela do celular,Produto Defeituoso,EletroMax,GO,1664.48,11.5
Produto chegou muito atrasado,Entrega,EletroMax,PR,657.22,5.0
Atendente não soube me informar,Atendimento,TechMart,CE,39.24,16.5
Cobrança duplicada no cartão,Cobrança Indevida,EletroMax,SC,279.09,4.9
Produto chegou com defeito de fábrica,Produto Defeituoso,TechMart,SP,813.39,8.4
Produto não corresponde à descrição,Produto Defeituoso,MegaStore,SC,1882.67,9.8
Entrega foi feita no endereço errado,Entrega,FastDelivery,SP,440.77,6.4
Entregador foi mal educado,Entrega,TechMart,SP,574.37,5.7
Defeito na tela do celular,Produto Defeituoso,SuperCompras,CE,1013.26,11.6
Fui mal atendido na loja física,Atendimento,FastDelivery,GO,60.4,10.5
Entregador foi mal educado,Entrega,EletroMax,RS,586.13,5.3
Cobrança duplicada no cartão,Cobrança Indevida,MegaStore,RS,280.51,3.3
Defeito na tela do celular,Produto Defeituoso,MegaStore,CE,717.92,4.2
Taxa não informada na contratação,Cobrança Indevida,MegaStore,CE,301.39,5.6
Produto chegou com defeito de fábrica,Produto Defeituoso,FastDelivery,RS,1841.56,12.1
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,TechMart,CE,184.4,2.1
Atendimento muito demorado no telefone,Atendimento,MegaStore,BA,12.28,5.5
Atendente não soube me informar,Atendimento,TechMart,SP,86.99,10.9
Entregador foi mal educado,Entrega,TechMart,PR,288.1,5.8
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,TechMart,MG,826.43,8.5
Taxa não informada na contratação,Cobrança Indevida,SuperCompras,RJ,460.86,6.3
Valor diferente do acordado,Cobrança Indevida,MegaStore,MG,139.15,6.2
Entregador foi mal educado,Entrega,TechMart,SP,630.98,2.7
Atendente não soube me informar,Atendimento,SuperCompras,PR,51.52,19.5
Produto chegou com defeito de fábrica,Produto Defeituoso,FastDelivery,SC,1728.23,8.5
Produto não foi entregue no prazo,Entrega,TechMart,BA,358.63,5.8
Fui mal atendido na loja física,Atendimento,TechMart,GO,58.75,6.6
Taxa não informada na contratação,Cobrança Indevida,SuperCompras,SC,231.57,4.6
Não consegui resolver meu problema,Atendimento,FastDelivery,SP,33.44,2.4
Taxa não informada na contratação,Cobrança Indevida,SuperCompras,MG,329.12,4.7
Valor diferente do acordado,Cobrança Indevida,SuperCompras,BA,336.28,1.2
Cobrança duplicada no cartão,Cobrança Indevida,MegaStore,GO,69.97,8.2
Cobrança duplicada no cartão,Cobrança Indevida,TechMart,GO,67.73,3.2
Não consegui resolver meu problema,Atendimento,FastDelivery,RS,66.81,4.9
Taxa não informada na contratação,Cobrança Indevida,SuperCompras,BA,373.23,8.6
Entregador foi mal educado,Entrega,MegaStore,RS,525.05,5.2
Produto veio danificado na entrega,Produto Defeituoso,FastDelivery,CE,1658.96,6.1
Valor diferente do acordado,Cobrança Indevida,FastDelivery,PR,185.69,8.0
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,EletroMax,MG,1899.48,11.7
Produto não foi entregue no prazo,Entrega,SuperCompras,GO,788.73,3.8
Produto não foi entregue no prazo,Entrega,SuperCompras,MG,424.59,5.5
Fui mal atendido na loja física,Atendimento,TechMart,BA,21.8,13.3
Atendente não soube me informar,Atendimento,SuperCompras,CE,90.06,14.1
Produto não corresponde à descrição,Produto Defeituoso,SuperCompras,PR,1639.36,8.0
Atendimento muito demorado no telefone,Atendimento,EletroMax,PE,49.75,14.7
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,EletroMax,PE,569.67,11.3
Atendente não soube me informar,Atendimento,EletroMax,PE,49.43,11.9
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,EletroMax,CE,872.97,6.0
Não consegui resolver meu problema,Atendimento,TechMart,MG,9.03,15.6
Produto veio danificado na entrega,Produto Defeituoso,MegaStore,GO,902.53,13.8
Cobrança duplicada no cartão,Cobrança Indevida,SuperCompras,BA,338.56,9.4
Produto chegou com defeito de fábrica,Produto Defeituoso,SuperCompras,RS,1102.69,3.3
Produto chegou muito atrasado,Entrega,TechMart,RJ,509.97,3.8
Produto chegou com defeito de fábrica,Produto Defeituoso,TechMart,SP,1016.21,10.6
Atendimento muito demorado no telefone,Atendimento,MegaStore,MG,7.78,1.0
Taxa não informada na contratação,Cobrança Indevida,FastDelivery,MG,171.01,8.3
Produto veio danificado na entrega,Produto Defeituoso,TechMart,CE,1396.59,8.3
Produto chegou muito atrasado,Entrega,EletroMax,SP,537.26,5.2
Atendimento muito demorado no telefone,Atendimento,SuperCompras,PE,64.67,14.2
Produto veio danificado na entrega,Produto Defeituoso,SuperCompras,CE,1197.11,15.0
Fui mal atendido na loja física,Atendimento,SuperCompras,BA,3.39,14.3
Produto não corresponde à descrição,Produto Defeituoso,SuperCompras,BA,1600.92,11.4
Produto chegou muito atrasado,Entrega,SuperCompras,CE,526.3,4.9
Produto chegou muito atrasado,Entrega,FastDelivery,RJ,711.45,4.2
Atendente não soube me informar,Atendimento,TechMart,RS,79.07,7.1
Atendimento muito demorado no telefone,Atendimento,EletroMax,CE,87.67,8.9
Taxa não informada na contratação,Cobrança Indevida,SuperCompras,BA,109.03,4.5
Produto chegou muito atrasado,Entrega,MegaStore,BA,37.3,1.3
Produto veio danificado na entrega,Produto Defeituoso,EletroMax,PE,1182.48,4.8
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,TechMart,BA,1068.91,11.3
Produto não corresponde à descrição,Produto Defeituoso,EletroMax,GO,610.12,5.1
Fui mal atendido na loja física,Atendimento,TechMart,SP,91.03,1.9
Cobraram valor a mais na fatura,Cobrança Indevida,TechMart,GO,79.73,9.6
Produto veio danificado na entrega,Produto Defeituoso,EletroMax,SC,1965.54,13.4
Produto chegou muito atrasado,Entrega,EletroMax,RJ,158.62,6.9
Valor diferente do acordado,Cobrança Indevida,EletroMax,SC,311.71,5.6
Não consegui resolver meu problema,Atendimento,SuperCompras,PE,22.05,4.5
Cobrança após cancelamento do serviço,Cobrança Indevida,EletroMax,SC,485.17,9.0
Valor diferente do acordado,Cobrança Indevida,SuperCompras,SP,103.47,4.6
Funcionário foi grosseiro e mal educado,Atendimento,TechMart,GO,89.74,9.8
Produto veio danificado na entrega,Produto Defeituoso,TechMart,PE,1795.1,13.0
Cobraram valor a mais na fatura,Cobrança Indevida,MegaStore,PE,41.3,8.7
Atendimento muito demorado no telefone,Atendimento,TechMart,PR,73.52,6.3
Produto chegou muito atrasado,Entrega,EletroMax,CE,440.1,6.8
Entregador foi mal educado,Entrega,FastDelivery,PR,793.44,1.4
Produto veio danificado na entrega,Produto Defeituoso,MegaStore,CE,1164.07,10.3
Produto chegou muito atrasado,Entrega,EletroMax,SP,706.55,5.8
Não recebi o produto comprado,Entrega,TechMart,PE,287.19,2.4
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,FastDelivery,SC,418.98,13.3
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,TechMart,MG,1764.19,1.1
Produto chegou muito atrasado,Entrega,EletroMax,BA,153.79,5.9
Fui mal atendido na loja física,Atendimento,EletroMax,BA,19.31,2.6
Cobraram valor a mais na fatura,Cobrança Indevida,TechMart,SP,75.61,4.4
Entregador foi mal educado,Entrega,MegaStore,SC,248.17,1.1
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,FastDelivery,PR,249.89,14.1
Não recebi o produto comprado,Entrega,SuperCompras,RS,261.74,5.2
Atendimento muito demorado no telefone,Atendimento,SuperCompras,SC,34.59,12.8
Taxa não informada na contratação,Cobrança Indevida,SuperCompras,RS,330.84,6.3
Entregador foi mal educado,Entrega,MegaStore,SP,279.18,3.9
Cobrança duplicada no cartão,Cobrança Indevida,SuperCompras,BA,234.03,3.5
Defeito na tela do celular,Produto Defeituoso,TechMart,MG,930.2,3.3
Cobrança após cancelamento do serviço,Cobrança Indevida,EletroMax,RS,423.17,8.0
Produto chegou muito atrasado,Entrega,MegaStore,MG,762.16,1.9
Entregador foi mal educado,Entrega,EletroMax,PR,521.66,3.4
Produto veio danificado na entrega,Produto Defeituoso,MegaStore,SP,675.45,11.1
Fui mal atendido na loja física,Atendimento,MegaStore,SP,65.17,8.0
Valor diferente do acordado,Cobrança Indevida,MegaStore,GO,96.44,2.8
Produto veio danificado na entrega,Produto Defeituoso,MegaStore,RJ,1534.0,9.8
Não recebi o produto comprado,Entrega,EletroMax,GO,739.05,4.7
Atendimento muito demorado no telefone,Atendimento,TechMart,RS,43.03,4.8
Defeito na tela do celular,Produto Defeituoso,EletroMax,PR,1201.01,7.1
Entregador foi mal educado,Entrega,TechMart,GO,387.74,5.1
Não consegui resolver meu problema,Atendimento,EletroMax,PE,86.01,15.8
Produto chegou muito atrasado,Entrega,MegaStore,GO,142.36,1.6
Atendente não soube me informar,Atendimento,FastDelivery,SP,55.96,1.2
Produto não foi entregue no prazo,Entrega,SuperCompras,SP,97.66,3.1
Produto veio danificado na entrega,Produto Defeituoso,FastDelivery,CE,824.0,2.9
Taxa não informada na contratação,Cobrança Indevida,SuperCompras,RJ,414.29,1.4
Produto não foi entregue no prazo,Entrega,MegaStore,MG,720.09,4.6
Produto chegou com defeito de fábrica,Produto Defeituoso,SuperCompras,GO,1897.33,9.8
Produto chegou muito atrasado,Entrega,MegaStore,RS,455.81,4.6
Funcionário foi grosseiro e mal educado,Atendimento,MegaStore,PE,16.4,9.3
Atendente não soube me informar,Atendimento,FastDelivery,PE,87.18,5.2
Valor diferente do acordado,Cobrança Indevida,EletroMax,GO,438.48,4.9
Produto chegou muito atrasado,Entrega,FastDelivery,RJ,46.06,4.9
Produto chegou com defeito de fábrica,Produto Defeituoso,MegaStore,MG,208.98,6.6
Produto veio danificado na entrega,Produto Defeituoso,TechMart,BA,952.11,13.2
Taxa não informada na contratação,Cobrança Indevida,EletroMax,GO,224.24,4.1
Não recebi o produto comprado,Entrega,FastDelivery,GO,448.34,4.1
Defeito na tela do celular,Produto Defeituoso,SuperCompras,PR,821.25,9.5
Taxa não informada na contratação,Cobrança Indevida,FastDelivery,SC,334.4,9.9
Fui mal atendido na loja física,Atendimento,FastDelivery,MG,62.3,13.0
Cobraram valor a mais na fatura,Cobrança Indevida,MegaStore,CE,363.6,9.2
Taxa não informada na contratação,Cobrança Indevida,FastDelivery,RJ,106.87,8.7
Produto chegou com defeito de fábrica,Produto Defeituoso,FastDelivery,GO,1179.86,10.3
Cobraram valor a mais na fatura,Cobrança Indevida,MegaStore,PE,485.32,3.3
Produto veio danificado na entrega,Produto Defeituoso,TechMart,GO,1217.49,6.6
Cobrança duplicada no cartão,Cobrança Indevida,SuperCompras,MG,232.17,4.0
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,FastDelivery,PE,890.23,4.5
Valor diferente do acordado,Cobrança Indevida,TechMart,PE,100.18,2.5
Produto não corresponde à descrição,Produto Defeituoso,EletroMax,PR,1090.35,11.9
Não recebi o produto comprado,Entrega,FastDelivery,SC,188.5,1.7
Funcionário foi grosseiro e mal educado,Atendimento,TechMart,PR,93.66,1.7
Cobrança duplicada no cartão,Cobrança Indevida,EletroMax,PR,62.51,1.9
Valor diferente do acordado,Cobrança Indevida,SuperCompras,RS,493.58,9.7
Taxa não informada na contratação,Cobrança Indevida,TechMart,RJ,487.09,6.2
Produto chegou muito atrasado,Entrega,SuperCompras,BA,543.49,1.8
Entregador foi mal educado,Entrega,FastDelivery,RJ,185.43,5.0
Fui mal atendido na loja física,Atendimento,TechMart,BA,67.26,9.4
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,TechMart,BA,1958.33,6.2
Funcionário foi grosseiro e mal educado,Atendimento,SuperCompras,SP,83.09,17.4
Defeito na tela do celular,Produto Defeituoso,MegaStore,GO,1601.25,13.9
Produto não corresponde à descrição,Produto Defeituoso,EletroMax,PR,1175.51,5.9
Funcionário foi grosseiro e mal educado,Atendimento,TechMart,SP,40.69,17.5
Produto veio danificado na entrega,Produto Defeituoso,EletroMax,PE,262.76,10.1
Atendente não soube me informar,Atendimento,MegaStore,SC,90.14,17.7
Cobrança duplicada no cartão,Cobrança Indevida,EletroMax,SP,77.7,5.9
Produto veio danificado na entrega,Produto Defeituoso,TechMart,CE,822.54,10.7
Entregador foi mal educado,Entrega,TechMart,SP,212.91,3.2
Entrega foi feita no endereço errado,Entrega,MegaStore,MG,159.7,4.9
Atendimento muito demorado no telefone,Atendimento,MegaStore,PR,86.33,10.9
Atendente não soube me informar,Atendimento,EletroMax,CE,10.89,3.8
Entregador foi mal educado,Entrega,FastDelivery,RS,498.09,5.6
Funcionário foi grosseiro e mal educado,Atendimento,FastDelivery,PR,19.58,1.1
Cobrança após cancelamento do serviço,Cobrança Indevida,FastDelivery,PE,334.25,4.4
Entregador foi mal educado,Entrega,EletroMax,SC,179.81,2.0
Entregador foi mal educado,Entrega,FastDelivery,MG,477.32,1.5
Funcionário foi grosseiro e mal educado,Atendimento,SuperCompras,SP,97.67,16.6
Não consegui resolver meu problema,Atendimento,FastDelivery,CE,79.98,4.5
Cobraram valor a mais na fatura,Cobrança Indevida,SuperCompras,CE,460.52,4.8
Atendimento muito demorado no telefone,Atendimento,FastDelivery,GO,52.65,3.1
Produto veio danificado na entrega,Produto Defeituoso,FastDelivery,PE,1597.8,10.1
Entrega foi feita no endereço errado,Entrega,TechMart,CE,723.02,3.1
Não consegui resolver meu problema,Atendimento,EletroMax,RS,27.48,16.6
Entrega foi feita no endereço errado,Entrega,TechMart,RJ,620.33,1.9
Taxa não informada na contratação,Cobrança Indevida,EletroMax,SP,373.7,8.8
Cobrança após cancelamento do serviço,Cobrança Indevida,TechMart,SC,31.35,6.8
Produto chegou muito atrasado,Entrega,SuperCompras,PE,331.0,4.6
Atendimento muito demorado no telefone,Atendimento,SuperCompras,MG,59.7,13.8
Fui mal atendido na loja física,Atendimento,TechMart,SP,1.58,7.5
Não consegui resolver meu problema,Atendimento,FastDelivery,CE,33.72,18.2
Defeito na tela do celular,Produto Defeituoso,EletroMax,SP,1211.71,6.6
Produto não corresponde à descrição,Produto Defeituoso,TechMart,BA,185.38,8.3
Atendente não soube me informar,Atendimento,EletroMax,PR,27.11,12.3
Valor diferente do acordado,Cobrança Indevida,EletroMax,CE,179.84,7.0
Valor diferente do acordado,Cobrança Indevida,SuperCompras,SC,287.74,7.6
Atendente não soube me informar,Atendimento,FastDelivery,CE,95.76,4.3
Cobraram valor a mais na fatura,Cobrança Indevida,SuperCompras,PE,414.47,1.0
Não recebi o produto comprado,Entrega,FastDelivery,MG,743.93,2.4
Produto chegou muito atrasado,Entrega,EletroMax,RS,743.79,4.2
Produto veio danificado na entrega,Produto Defeituoso,FastDelivery,SC,551.24,12.0
Produto não foi entregue no prazo,Entrega,EletroMax,SC,152.66,1.4
Produto não foi entregue no prazo,Entrega,SuperCompras,RJ,323.3,3.1
Produto chegou com defeito de fábrica,Produto Defeituoso,TechMart,MG,824.11,7.3
Entrega foi feita no endereço errado,Entrega,MegaStore,SC,412.66,7.0
Defeito na tela do celular,Produto Defeituoso,SuperCompras,SP,276.91,12.4
Taxa não informada na contratação,Cobrança Indevida,MegaStore,BA,166.25,1.7
Produto não corresponde à descrição,Produto Defeituoso,SuperCompras,RJ,486.05,14.4
Funcionário foi grosseiro e mal educado,Atendimento,TechMart,RJ,13.25,17.4
Produto não foi entregue no prazo,Entrega,EletroMax,RS,416.98,3.4
Produto veio danificado na entrega,Produto Defeituoso,EletroMax,RJ,182.94,1.4
Defeito na tela do celular,Produto Defeituoso,EletroMax,RS,907.05,2.5
Fui mal atendido na loja física,Atendimento,MegaStore,RJ,65.02,3.9
Cobrança após cancelamento do serviço,Cobrança Indevida,MegaStore,RJ,240.7,1.5
Taxa não informada na contratação,Cobrança Indevida,EletroMax,GO,162.73,4.9
Produto não corresponde à descrição,Produto Defeituoso,EletroMax,PE,1576.26,4.7
Valor diferente do acordado,Cobrança Indevida,TechMart,RS,323.93,3.1
Defeito na tela do celular,Produto Defeituoso,FastDelivery,RS,1328.66,12.9
Fui mal atendido na loja física,Atendimento,FastDelivery,MG,36.78,8.9
Fui mal atendido na loja física,Atendimento,EletroMax,SC,96.38,5.7
Não consegui resolver meu problema,Atendimento,EletroMax,SC,79.03,12.1
Taxa não informada na contratação,Cobrança Indevida,EletroMax,SP,175.28,8.5
Produto veio danificado na entrega,Produto Defeituoso,EletroMax,RJ,176.0,1.6
